Kingdom,Phylum,Class,Order,Family,Species,Library?,Source,Source 2,Notes,Selected,TE_count,MCH_Parameters
Animalia,Chordata,Aves,Gruiformes,Heliornithidae,Heliornis fulica,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,66,"x=10, e=500, c=1"
Animalia,Chordata,Lepidosauria,Squamata,Helodermatidae,Heloderma charlesbogerti,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,175,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Helogale parvula,Complete,Dfam,,Curated Dfam,Dfam,22,
Animalia,Chordata,Actinopteri,Anabantiformes,Helostomatidae,Helostoma temminkii,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,140,"x=10, e=500, c=1"
Fungi,Ascomycota,Leotiomycetes,Helotiales,,Helotiales sp f229,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,35,"x=10, e=500, c=1"
Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Zaghouaniaceae,Hemileia vastatrix,Complete,RM2+MCH,,B-GUT,RM2+MCH,7,"x=0, e=500, c=1"
Animalia,Chordata,Aves,Apodiformes,Apodidae,Hemiprocne comata,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,146,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Hemitragus hylocrius,Complete,Dfam,,Curated Dfam,Dfam,38,
Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Henningerozyma blattae,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Microsporidia,,,Hepatosporidae,Hepatospora eriocheir,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium alpestre,Complete,RM2+MCH,,B-GUT,RM2+MCH,2,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium coralloides,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,21,"x=10, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Hermanssonia centrifuga,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Hesseltinella vesiculosa,Complete,RM2+MCH,,B-GUT,RM2+MCH,8,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Heterobasidion annosum,Complete,RM2+MCH,,B-GUT,RM2+MCH,5,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Heterobasidion irregulare,Complete,RM2+MCH,,B-GUT,RM2+MCH,6,"x=0, e=500, c=1"
Animalia,Platyhelminthes,Trematoda,Strigeidida,Schistosomatidae,Heterobilharzia americana,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,271,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Heterocephalus glaber,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,321,"x=10, e=500, c=1"
Fungi,Basidiomycota,Exobasidiomycetes,Doassansiales,Doassansiaceae,Heterodoassansia hygrophilae,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Heterohyrax brucei,Complete,Dfam,,Curated Dfam,Dfam,18,
Plantae,Angiosperma,Magnoliopsida,Malvales,Malvaceae,Hibiscus mutabilis,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,52,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Malvales,Malvaceae,Hibiscus syriacus,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,52,"x=0, e=500, c=1"
Animalia,Chordata,Aves,Trichoptera,Recurvirostridae,Himantopus himantopus leucocephalus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,49,"x=10, e=500, c=1"
Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossus hippoglossus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,95,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus amphibius,Complete,Dfam,,Curated Dfam,Dfam,55,
Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros armiger,Complete,Dfam,,Curated Dfam,Dfam,44,
Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros galeritus,Complete,Dfam,,Curated Dfam,Dfam,45,
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Hirsutella minnesotensis,Complete,RM2+MCH,,B-GUT,RM2+MCH,36,"x=0, e=500, c=1"
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Hirsutella rhossiliensis,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,213,"x=10, e=500, c=1"
Animalia,Echinodermata,Holothuroidea,Passeriformes,Holothuriidae,Holothuria scabra,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,331,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,Primates,Hominidae,Hominidae,Complete,Dfam,,Dfam no especie,Dfam,59,
Animalia,Chordata,Mammalia,Primates,Hominidae,Homininae,Complete,Dfam,,Dfam no especie,Dfam,1173,
Animalia,Chordata,Mammalia,Primates,,Hominoidea,Complete,Dfam,,Dfam no especie,Dfam,59,
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo sapiens,Complete,Dfam,,Curated Dfam,Dfam,11,
Plantae,Angiosperma,Magnoliopsida,Poales,Poaceae,Hordeum vulgare,Complete,RM2+MCH,Repbase,Uncurated Dfam,RM2+MCH,391,"x=10, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Hortaea werneckii,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,13,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Rosales,Cannabaceae,Humulus lupulus,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,48,"x=0, e=500, c=1"
Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Hyaena hyaena,Complete,Dfam,,Curated Dfam,Dfam,26,
