Kingdom,Phylum,Class,Order,Family,Species,Library?,Source,Source 2,Notes,Selected,TE_count
Animalia,Chordata,No trobat,Testudines,No trobat,Testudines,Complete,Dfam,,Dfam no especie,Dfam,56
Animalia,Chordata,No trobat,Testudines,No trobat,Testudinoidea,Complete,Dfam,,Dfam no especie,Dfam,56
Animalia,Arthropoda,Arachnida,Trombidiformes,Tetranychidae,Tetranychus urticae,Complete,RM2+MCH,Repbase,"ENSEMBL ""2023""",RM2+MCH,7
Animalia,Chordata,No trobat,No trobat,No trobat,Tetrapoda,Complete,Dfam,,Dfam no especie,Dfam,12
Animalia,Chordata,Actinopteri,Batrachoidiformes,Batrachoididae,Thalassophryne amazonica,Complete,Dfam,,Curated Dfam,Dfam,1
Animalia,Chordata,Actinopteri,Osmeriformes,Osmeridae,Thaleichthys pacificus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,51
Animalia,Chordata,Aves,Ciconiiformes,Thinocoridae,Thinocorus orbignyianus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,55
Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys bottae,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,65
Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Thrips palmi,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,25
Animalia,Chordata,Mammalia,Rodentia,Thryonomyidae,Thryonomys swinderianus,Complete,Dfam,,Curated Dfam,Dfam,16
Animalia,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus albacares,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,65
Animalia,Arthropoda,Hexanauplia,Harpacticoida,Harpacticidae,Tigriopus kingsejongensis,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,196
Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Tinamus guttatus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,12
Animalia,Chordata,Mammalia,Cingulata,Chlamyphoridae,Tolypeutes matacus,Complete,Dfam,,Curated Dfam,Dfam,53
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Tonatia saurophila,Complete,Dfam,,Curated Dfam,Dfam,32
Animalia,Chordata,Actinopteri,No order,Toxotidae,Toxotes jaculatrix,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,176
Animalia,Chordata,Mammalia,Artiodactyla,Tragulidae,Tragulus javanicus,Complete,Dfam,,Curated Dfam,Dfam,34
Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus manatus,Complete,Dfam,,Release 1.2,Dfam,46
Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus manatus latirostris,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,266
Animalia,Nematoda,Enoplea,Trichinellida,Trichinellidae,Trichinella nelsoni,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,7
Animalia,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma brassicae,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,86
Animalia,Arthropoda,Insecta,Neoptera,Trichogrammatidae,Trichogramma pretiosum,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,38
Animalia,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,Triplophysa siluroides,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,351
